Países,Quantidade (Kg),Valor (US$)
Afeganistão,-,-
África do Sul,-,-
"Alemanha, República Democrática",15.467,87.702
Angola,10.170,61.680
Anguilla,-,-
Antígua e Barbuda,-,-
Antilhas Holandesas,5.400,8.550
Argentina,-,-
Aruba,-,-
Austrália,1.350,7.500
Áustria,-,-
Bahamas,-,-
Bangladesh,-,-
Barbados,-,-
Barein,-,-
Bélgica,2.790,16.405
Belice,-,-
Benin,-,-
Bolívia,9.495,23.085
Bósnia-Herzegovina,-,-
Brasil,-,-
Bulgária,117,1.579
Cabo Verde,-,-
Camarões,1.749,7.476
Canadá,6.075,30.658
Catar,13.338,81.606
"Cayman, Ilhas",-,-
Chile,-,-
China,67.594,266.086
Chipre,-,-
Cingapura,-,-
Colômbia,-,-
Comores,-,-
Congo,-,-
"Coreia, Republica Sul",-,-
Costa do Marfim,-,-
Costa Rica,-,-
Croácia,-,-
Cuba,62.791,72.229
Curaçao,12.340,23.011
Dinamarca,581,2.829
Dominica,-,-
El Salvador,-,-
Emirados Arabes Unidos,675,3.302
Equador,-,-
"Eslovaca, Republica",-,-
Espanha,-,-
Estados Unidos,132.688,1.523.699
Estônia,-,-
Filipinas,-,-
Finlândia,-,-
França,4.253,21.654
Gana,-,-
Gibraltar,-,-
Grécia,-,-
Guatemala,-,-
Guiana,-,-
Guiana Francesa,-,-
Guine Bissau,48,90
Guine Equatorial,2.639,30.563
Haiti,-,-
Honduras,-,-
Hong Kong,1.934,8.180
Hungria,-,-
Ilha de Man,-,-
Ilhas Virgens,-,-
India,-,-
Indonésia,-,-
Irã,-,-
Iraque,-,-
Irlanda,-,-
Itália,468,2.248
Jamaica,-,-
Japão,33.909,92.886
Jordânia,-,-
Letônia,387,3.723
Líbano,-,-
Libéria,-,-
Luxemburgo,2.719,21.947
Malásia,-,-
Malta,-,-
"Marshall, Ilhas",-,-
Mauritânia,-,-
México,664,2.292
Montenegro,-,-
Namibia,-,-
Nicaragua,-,-
Nigéria,-,-
Noruega,-,-
Nova Caledônia,-,-
Nova Zelândia,1.678,8.140
Países Baixos,-,-
Panamá,-,-
Paraguai,2.393.468,4.274.650
Peru,-,-
Polônia,-,-
Porto Rico,-,-
Portugal,-,-
Quênia,-,-
Reino Unido,60.711,242.883
República Dominicana,-,-
Rússia,-,-
São Tomé e Príncipe,-,-
São Vicente e Granadinas,-,-
Senegal,-,-
Serra Leoa,-,-
Singapura,-,-
Suazilândia,-,-
Suécia,15.445,64.953
Suíça,6.525,74.816
Suriname,3.690,5.638
Tailândia,-,-
Taiwan (FORMOSA),14.988,43.954
Tanzânia,-,-
"Tcheca, República",2.746,16.947
Togo,-,-
Trinidade Tobago,-,-
Tunísia,-,-
Turquia,-,-
Tuvalu,-,-
Uruguai,-,-
Vanuatu,-,-
Venezuela,680,2.646
Vietnã,-,-
Total,2.889.572,7.135.607
