Países,Quantidade (Kg),Valor (US$)
Afeganistão,-,-
África do Sul,-,-
"Alemanha, República Democrática",10.794,45.382
Angola,477,709
Anguilla,-,-
Antígua e Barbuda,37,191
Antilhas Holandesas,-,-
Argentina,15.711,59.150
Aruba,-,-
Austrália,2.055,6.902
Áustria,-,-
Bahamas,141,634
Bangladesh,-,-
Barbados,-,-
Barein,-,-
Bélgica,7.497,52.799
Belice,-,-
Benin,-,-
Bolívia,21.566,57.424
Bósnia-Herzegovina,-,-
Brasil,-,-
Bulgária,-,-
Cabo Verde,18,48
Camarões,-,-
Canadá,5.308,20.414
Catar,-,-
"Cayman, Ilhas",19,203
Chile,11.049,42.832
China,30.835,126.336
Chipre,279,480
Cingapura,3.298,11.616
Colômbia,6.944,26.273
Comores,-,-
Congo,-,-
"Coreia, Republica Sul",120,109
Costa do Marfim,-,-
Costa Rica,-,-
Croácia,-,-
Cuba,4.776,5.584
Curaçao,23.930,43.676
Dinamarca,-,-
Dominica,-,-
El Salvador,-,-
Emirados Arabes Unidos,360,1.762
Equador,-,-
"Eslovaca, Republica",-,-
Espanha,6.123,22.631
Estados Unidos,169.109,512.519
Estônia,-,-
Filipinas,9.608,16.205
Finlândia,-,-
França,11.077,48.677
Gana,9.000,13.502
Gibraltar,-,-
Grécia,232,730
Guatemala,-,-
Guiana,-,-
Guiana Francesa,-,-
Guine Bissau,-,-
Guine Equatorial,8.389,26.808
Haiti,79.500,144.425
Honduras,-,-
Hong Kong,1.742,9.029
Hungria,-,-
Ilha de Man,-,-
Ilhas Virgens,-,-
India,-,-
Indonésia,-,-
Irã,-,-
Iraque,-,-
Irlanda,7.560,25.767
Itália,3.661,13.260
Jamaica,-,-
Japão,36.992,112.342
Jordânia,-,-
Letônia,-,-
Líbano,-,-
Libéria,658,3.100
Luxemburgo,1.778,11.053
Malásia,15,33
Malta,503,1.192
"Marshall, Ilhas",923,2.436
Mauritânia,-,-
México,2.748,9.744
Montenegro,-,-
Namibia,-,-
Nicaragua,-,-
Nigéria,5.175,6.250
Noruega,1.295,9.847
Nova Caledônia,-,-
Nova Zelândia,969,5.565
Países Baixos,9.451,32.395
Panamá,1.183,3.117
Paraguai,3.234.168,5.494.321
Peru,5.193,19.372
Polônia,720,4.679
Porto Rico,-,-
Portugal,-,-
Quênia,6.771,31.225
Reino Unido,67.708,296.827
República Dominicana,-,-
Rússia,-,-
São Tomé e Príncipe,2.184,2.357
São Vicente e Granadinas,-,-
Senegal,-,-
Serra Leoa,-,-
Singapura,-,-
Suazilândia,-,-
Suécia,8.062,34.563
Suíça,-,-
Suriname,-,-
Tailândia,8,45
Taiwan (FORMOSA),7.589,18.421
Tanzânia,-,-
"Tcheca, República",2.712,20.980
Togo,-,-
Trinidade Tobago,-,-
Tunísia,-,-
Turquia,360,150
Tuvalu,-,-
Uruguai,7.711,29.617
Vanuatu,-,-
Venezuela,71,355
Vietnã,-,-
Total,3.856.162,7.486.063
