Países,Quantidade (Kg),Valor (US$)
Afeganistão,-,-
África do Sul,-,-
"Alemanha, República Democrática",36.070,144.150
Angola,13.889,69.001
Anguilla,-,-
Antígua e Barbuda,-,-
Antilhas Holandesas,7.335,10.188
Argentina,13.253,55.460
Aruba,900,1.680
Austrália,3.632,40.704
Áustria,-,-
Bahamas,4.529,28.810
Bangladesh,-,-
Barbados,-,-
Barein,-,-
Bélgica,11.802,62.339
Belice,-,-
Benin,-,-
Bolívia,12.775,20.215
Bósnia-Herzegovina,-,-
Brasil,-,-
Bulgária,-,-
Cabo Verde,600,825
Camarões,-,-
Canadá,28.906,128.076
Catar,-,-
"Cayman, Ilhas",-,-
Chile,-,-
China,54.156,334.867
Chipre,-,-
Cingapura,911,3.317
Colômbia,-,-
Comores,-,-
Congo,360,570
"Coreia, Republica Sul",-,-
Costa do Marfim,-,-
Costa Rica,-,-
Croácia,-,-
Cuba,2.880,4.899
Curaçao,-,-
Dinamarca,32.797,83.057
Dominica,-,-
El Salvador,-,-
Emirados Arabes Unidos,2.120,6.594
Equador,-,-
"Eslovaca, Republica",-,-
Espanha,5.206,24.618
Estados Unidos,306.787,1.030.254
Estônia,450,5.336
Filipinas,-,-
Finlândia,12.404,50.394
França,-,-
Gana,-,-
Gibraltar,-,-
Grécia,-,-
Guatemala,-,-
Guiana,-,-
Guiana Francesa,-,-
Guine Bissau,-,-
Guine Equatorial,956,1.979
Haiti,-,-
Honduras,-,-
Hong Kong,2.063,7.975
Hungria,-,-
Ilha de Man,-,-
Ilhas Virgens,-,-
India,-,-
Indonésia,-,-
Irã,-,-
Iraque,-,-
Irlanda,5.376,35.690
Itália,11.999,80.298
Jamaica,-,-
Japão,100.835,144.662
Jordânia,-,-
Letônia,-,-
Líbano,-,-
Libéria,-,-
Luxemburgo,9.547,65.592
Malásia,-,-
Malta,-,-
"Marshall, Ilhas",-,-
Mauritânia,-,-
México,1.350,7.200
Montenegro,-,-
Namibia,-,-
Nicaragua,-,-
Nigéria,54,210
Noruega,10.268,78.688
Nova Caledônia,-,-
Nova Zelândia,2.587,7.992
Países Baixos,125.414,395.356
Panamá,-,-
Paraguai,240.168,276.281
Peru,-,-
Polônia,11.732,50.684
Porto Rico,-,-
Portugal,95,1.031
Quênia,-,-
Reino Unido,122.629,285.642
República Dominicana,-,-
Rússia,-,-
São Tomé e Príncipe,-,-
São Vicente e Granadinas,-,-
Senegal,-,-
Serra Leoa,-,-
Singapura,-,-
Suazilândia,-,-
Suécia,1.641,14.476
Suíça,-,-
Suriname,3.774,3.735
Tailândia,-,-
Taiwan (FORMOSA),4.500,10.600
Tanzânia,-,-
"Tcheca, República",6.846,37.271
Togo,-,-
Trinidade Tobago,-,-
Tunísia,-,-
Turquia,-,-
Tuvalu,-,-
Uruguai,1.238,4.404
Vanuatu,-,-
Venezuela,-,-
Vietnã,-,-
Total,1.214.834,3.615.120
